0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
33019,32916,13333,32807,32793,13482,32944,32896,13348,32913,32812,13173,32806,32856,13152,32810,33146,13064,33029,33048,13571,32767,32842,13067,32900,32823,13400,33021,32901,13317,32894,32906,13515,32888,33044,13489,32864,32913,13201,32848,32961,13067,32893,32778,13113,32884,32851,12642
33016,32921,13336,32808,32790,13493,32951,32901,13330,32915,32822,13156,32805,32849,13141,32804,33154,13013,33032,33049,13562,32762,32843,13036,32903,32823,13420,33024,32901,13332,32896,32901,13524,32888,33035,13490,32863,32917,13178,32845,32957,13076,32895,32786,13106,32885,32844,12586
33020,32914,13301,32807,32796,13480,32945,32896,13318,32913,32814,13157,32805,32865,13168,32809,33150,13082,33030,33051,13557,32766,32842,13060,32901,32824,13400,33022,32889,13319,32892,32900,13517,32891,33041,13492,32863,32914,13178,32845,32949,13048,32896,32792,13104,32880,32839,13280
33018,32917,13337,32808,32791,13471,32941,32894,13316,32919,32815,13157,32804,32859,13151,32807,33157,13020,33028,33047,13591,32764,32841,13027,32902,32821,13407,33022,32892,13313,32895,32897,13540,32891,33040,13494,32864,32910,13173,32848,32953,13065,32894,32782,13109,32881,32843,13248
33022,32910,13355,32809,32796,13469,32945,32898,13349,32916,32817,13171,32804,32852,13127,32805,33150,13003,33027,33051,13566,32764,32840,13075,32903,32820,13401,33020,32888,13313,32895,32896,13499,32891,33042,13514,32864,32914,13187,32850,32946,13049,32891,32788,13121,32880,32845,13268
33018,32916,13353,32808,32787,13483,32945,32898,13321,32916,32819,13180,32803,32859,13146,32807,33163,13052,33027,33050,13579,32762,32844,13053,32904,32830,13406,33019,32891,13324,32895,32906,13520,32894,33050,13500,32865,32914,13187,32848,32954,13085,32891,32783,13102,32882,32839,13265
33020,32920,13318,32808,32797,13471,32943,32900,13330,32914,32817,13179,32807,32854,13149,32804,33150,13030,33029,33049,13569,32763,32840,13029,32907,32820,13382,33020,32897,13331,32894,32896,13525,32895,33046,13502,32863,32911,13170,32855,32952,13063,32893,32784,13135,32880,32840,12550
33020,32911,13308,32807,32793,13458,32947,32894,13320,32918,32815,13166,32805,32858,13140,32807,33151,13024,33025,33053,13567,32764,32841,13049,32902,32822,13408,33026,32898,13320,32898,32900,13525,32895,33043,13520,32865,32917,13167,32851,32946,13065,32893,32791,13116,32883,32842,12537
33016,32920,13312,32806,32790,13493,32947,32899,13328,32912,32818,13174,32810,32857,13133,32807,33149,13024,33031,33048,13582,32764,32842,13050,32901,32826,13414,33019,32898,13324,32894,32901,13531,32893,33039,13501,32865,32918,13187,32847,32953,13066,32892,32779,13104,32879,32842,13269
33022,32925,13318,32808,32787,13493,32948,32901,13339,32908,32809,13146,32801,32851,13142,32807,33144,13001,33023,33051,13594,32763,32849,13042,32899,32824,13425,33020,32904,13311,32893,32895,13553,32888,33042,13499,32866,32919,13187,32849,32952,13070,32897,32779,13086,32884,32849,13259
